WORD,SPEECH TAG
BAABIYA,NN
BAALA,NN
BAABANGURA,ADJ
BAALA,NN
BALUBIRI,ADJ
BAALA BAKOYABE,NN
BAKOYABE,ADJ
BAAFU,NN
BABAASABA,NN
BABAAMANGA,NN
BABAMBO,NN
BABAAMBOCHA,NN
BABANGACHI,NN
BABENGE,NN
BABICHU,NN
BABICHACHI,NN
BABIKALA,NN
BABURIRE,NN
BABUUTU,NN
BABUYA,NN
BAHAMBWA,ADJ
BABUYA,NN
BAHOLO,ADJ
BABUYA,NN
BAKABO,ADJ
BABUYA,NN
BAKHUFWE,ADJ
BABUYA,NN
BAMWONJA,ADJ
BABUYA,NN
BASIKULU,ADJ
BABUULO,NN
BABATELEMA,ADJ
BABUULO,NN
BANABUKHISA,ADJ
BABUULO,NN
BANAKOYONJO,ADJ
BABUULO,NN
BAWESWA,ADJ
BABUUTU,NN
BABWOBA,NN
BATUTA,ADJ
BABWOBA,NN
BANAKHULUNDU,ADJ
BABWOBA,NN
BASIABULILI,ADJ
BABWOBA,NN
BATUTA,ADJ
BABWOBA,NN
BANANYENJE,ADJ
BACHAMBACHI,NN
BACHANGO,NN
BACHARIA[ BAMACHARIA],NN
BACHOE,NN
BACHEMAYI,NN
BACHEMWILE,NN
BACHESOLI,NN
BACHIBINO,NN
BAECHALO,NN
BAMINYI,ADJ
BAECHALO,NN
BACHEBASA,ADJ
BAECHALO,NN
BANAKHUNGU,ADJ
BAECHALO,NN
BAMANYONGE,ADJ
BAEMBA,NN
BAENGELE,NN
BAFULO,NN
BAFUMBULA,NN
BAFUUMI,NN
BAILIFUMA,NN
BAHABIYA,NN
BAHUMA,NN
BALAKO,NN
BABAMWEYE,ADJ
BALAKO,NN
BAKHANDIA,ADJ
BALAKO,NN
BAKELO,ADJ
BALAKO,NN
BASIAMBO,ADJ
BALANDA,NN
BALENDE,NN
BALEYI,NN
BALINDO,NN
BALIANGO,NN
BALIISA,NN
BALIULI,NN
BALUU,NN
BALUCHWATA,NN
BALUMELA,NN
BALUNDA,NN
BALONJA,NN
BANAWANGA,ADJ
BALONJA,NN
BAKHEYANA,ADJ
BALONJA,NN
BAKUTOYO,ADJ
BALONJA,NN
BAMUSABI,ADJ
BAKAFISI,NN
BAKALASI,NN
BAKANGALA,NN
BAKAMUKONG'I,NN
BAKAMUTEBI,NN
BAKEMBE,NN
BAKIBWABI,NN
BAKIBETI,NN
BAKIKAYI,NN
BAKIPEMULI,NN
BAKINISU,NN
BAKISEBE,NN
BAKIYABI,NN
BAKHALI,NN
BAKHAYABI,NN
BAKHANYWINYWI,NN
BAKHWAMI,NN
BAKHEKHE,NN
BAKHELENGE,NN
BAKHIISA,NN
BAKHOMA,NN
BAKHONE,NN
BAKHONJO,NN
BAKHURARWA,NN
BAKIYABI,NN
BABIKEYO,ADJ
BAKIYABI,NN
BALIKIYWA,ADJ
BAKIYABI,NN
BANELIMA,ADJ
BAKOBELO,NN
BAKOBOLO,NN
BAKOKHO,NN
BAKOLATI,NN
BAKONGOLO,NN
BAKOYI,NN
BAKWANGWACHI,NN
BAKWAYA,NN
BAKUTA,NN
BAKUSI,NN
BAKUUNGA,NN
BAMAANDALI,NN
BAMAAKITA,NN
BAMAESO,NN
BAMAKAMBO,NN
BAMAKHANGA,NN
BAMAKHULI,NN
BAMAKINA,NN
BAMALICHA,NN
BAMARAKARU,NN
BAMASIKE,NN
BAMEME,NN
BMIISO,NN
BAMOYAYO,NN
BAMUFUMI,NN
BAMULUNDI,NN
BAMUNAA,NN
BAMUHONGO,NN
BAMUKI,NN
BAMUKOYA,NN
BAMULULU,NN
BAMULUNDU,NN
BAMURUBA,NN
BAMUSOMI,NN
BAMAHE,ADJ
BAMUSOMI,NN
BASOMI,ADJ
BAMUSOMI,NN
BASIUMA,ADJ
BAMUSOMI,NN
BAMABECHU,ADJ
BATOBOSA,ADJ
BAMUSOMI,NN
BAMASIUKHA,ADJ
BAMUSOMI,NN
BATUNGUYA,ADJ
BAMUSOMI,NN
BAMABECHU,ADJ
BAMUSOMI,NN
BAYASERE,ADJ
BAMUKI,NN
BAMULIKA,NN
BAMUYONGA,NN
BAMWEYA[ BAMWAYA],NN
BAMWALO,ADJ
BAMWEYA [ BAMWAYA],NN
BENGAKI,ADJ
BAMWIIMA,NN
BANANJOFU,NN
BANANG'UNDA,NN
BANASAKA,NN
BANYANGALI,NN
BANYWAKA,NN
BANG'ALE,NN
BANG'OMA,NN
BARAKI,NN
BAREFU,NN
BASAAKHA,NN
BASAKALI,NN
BASAKWA,NN
BASAMBA,NN
BASANG'ALO,NN
BASAMO,NN
BASAYA,NN
BASAMU[ BASMO],NN
BASEFU,NN
BASKEKESE,NN
BASYENA,NN
BASIANAKA,NN
BASIBACHO,NN
BASICHONGOLI,NN
BASIHONDO,NN
BASIMAOLA,NN
BASIME,NN
BASIMISI,NN
BASIBENDE,NN
BASILOLI,NN
BASIKULA,NN
BASITUYI,NN
BASIOMBO,NN
BASIOYA,NN
BASOMBI,NN
BSONGE,NN
BASWUHU,NN
BATA,NN
BATASAMA,NN
BATAKHWE,NN
BATANYI,NN
BATECHO,NN
BATEMULANI,NN
BATILU[ BAMUTILU],NN
BATINDUI,NN
BATINGA,NN
BATOBO,NN
BATOLOMETI,NN
BATUKWIKA,NN
BALULETI,ADJ
BATUKWIKA,NN
BAKITANG'A,ADJ
BATUKWIKA,NN
BANAMBOBI,ADJ
BATUKWIKA,NN
BASAKHA,ADJ
BATUKWIKA,NN
BALUCHEKE,ADJ
BATURA,NN
BAUMA,NN
BAUMBA,NN
BAUNDU,NN
BAUSI,NN
BAWAMBWA,NN
BAWANDIAMBI,NN
BAWABUYA,NN
BAWASIO,NN
BAWASWA,NN
BAWELE,NN
BAWAYILA,NN
BAYAYA,NN
BAYEMBA,NN
BAKHAYAMA,ADJ
BAYEMBA,NN
BASAYA,NN
BAYIMA,NN
BAYIITU,NN
BAYUMBU,NN
BAYUNDO,NN
khubuna,V
khwe,CONJ
chisang'i,NN
echo,DET
Nga,CONJ
naba,V
ne,CONJ
siloleela,V
,PUNCT
chindebe,NN
che,CONJ
bubwami,NN
charebwao,V
nio,CONJ
mulala,NUM
,PUNCT
omutaai,ADJ
lukali,ADV
,PUNCT
khukhwama,V
khale,DET
,PUNCT
ekhalakho,V
.,PUNCT
chingubo,NN
chewe,PRON
chiwaanga,NN
chererere,X
nga,CONJ
liiarara,NN
,PUNCT
ne,CONJ
lichune,NN
liewe,PRON
liaba,V
likwalafu,NN
nga,CONJ
bufuumbo,NN
bwe,CONJ
likhese,NN
.,PUNCT
Endebe,NN
yewe,PRON
yaba,V
chinjaso,NN
che,CONJ
kumulilo,NN
,PUNCT
bikele,NN
biayo,NN
biba,V
kumulilo,NN
kuburukha,V
.,PUNCT
Esebele,NN
eye,CONJ
kumulilo,NN
yatubukha,V
Wele,NN
wenywe,PRON
ali,V
ne,CONJ
Nanywe,PRON
,
laka,
kewe,PRON
namwe,CONJ
Tawe,ADV
.,PUNCT
3,NUM
Aamukhola,V
Enywe,PRON
mweboombia,ADJ
mwaulila,V
Enjala,NN
,
si,
nibio,PRON
muliba,V
nabio,DET
Bilitasikha,V
.,PUNCT
14,NUM
Ne,CONJ
mala,CONJ
amuelesia,V
mana,NN
Mwalia,V
,
Siakhu,
munyoolile,V
bibiindu,NN
bino,DET
bioosi,DET
mukhe,
lia,
nisio,PRON
enywe,PRON
ne,CONJ
bakuuka,NN
benywe,PRON
niinia,V
mala,CONJ
mwebilila,V
Wele,NN
Omunyali,ADJ
mwaba,V
musiili,V
khuliakho,V
Tawe,ADV
.,PUNCT
Aakhola,V
Owa,ADP
Bioosi,DET
,
Wele,NN
wenywe,PRON
owamureesia,V
Tino,x
khumwekesia,V
enywe,PRON
ali,V
omundu,NN
se,PRON
enywe,PRON
khukhwama,V
Misiri,NN
niio,ADP
mwaba,V
amenya,V
khulwe,CONJ
kumukaati,NN
kwong'ene,ADJ
banasioobi,NN
Tawe,ADV
.,PUNCT
15,NUM
Wele,NN
Omunyali,ADJ
Owa,ADP
Tawe,ADV
,
ne,CONJ
kakhali,CONJ
khu,AP
buli,ADJ
sisiindu,NN
siosi,ADJ
Bioosi,DET
aamurangirira,V
mwabira,V
mu,ADP
siosi,adj
nisio,PRON
Wele,NN
Omunyali,ADJ
Owa,ADP
Bioosi,DET
sichiimi,NN
sibalaayi,ADJ
lundi,CONJ
Siriisia,V
,
niio,V
chi,
Aloma,V
.,PUNCT
Chingubo,NN
chenywe,PRON
se,PRON
Chatabuukha,V
ndemu,NN
che,ADP
bufwisi,NN
ne,CONJ
walute,
Chaba,V
.,PUNCT
khe,
khulwe,CONJ
kimiiko,NN
kamakhumi,NN
kane,NN
Sichiimi,NN
esio,DET
siaba,V
Sisioomu,ADJ
,
lundi,CONJ
sii,
kino,DET
namwe,CONJ
enywe,PRON
se,PRON
mwabimbile,V
bikele,NN
khali,CONJ
ne,CONJ
kameechi,NN
Tawe,ADV
.,PUNCT
Wele,NN
Omunyali,ADJ
Tawe,ADV
.,PUNCT
5,NUM
Manya,V
muli,V
Wele,NN
Omunyali,ADJ
Owa,ADP
Bioosi,DET
aakhola,V
kameechi,NN
kaama,V
mu,ADP
Owa,ADP
Bioosi,DET
,
Wele,NN
wenywe,PRON
amuukuuma,V
Lwanda,NN
.,PRON
16,NUM
Aamuelesia,V
enywe,PRON
mana,NN
mu,ADP
Enywe,PRON
nga,CONJ
paapa,NN
owe,ADP
babaana,NN
ne,CONJ
Auu,
-,
sichiimi,NN
Mwalia,V
,
siakhulia,NN
nisio,PRON
bakuu,
kuuma,
babaana,NN
Bewe,PRON
.,PUNCT
“,PUNCT
Nono,CONJ
,
mukhoya,V
ka,
benywe,PRON
baba,V
ne,CONJ
bakhaliakho,V
Tawe,ADV
.,PUNCT
murie,V
kamalaka,NN
ka,ADP
Wele,NN
Omunyali,ADJ
Owa,ADP
Amukholela,V
ario,DET
nio,CONJ
amukhole,V
mweboo,
Bioosi,DET
,
Wele,NN
Wenywe,PRON
.,PUNCT
Loonda,V
Chingi,x
-,PUNCT
mbie,v
lundi,CONJ
amukele,V
nio,DET
ekhumaliilikha,V
la,CONJ
chewe,PRON
mala,CONJ
mu,ADP
murie,V
Niye,PRON
.,PRON
Wele,NN
amukholele,V
Bulayi,ADJ
.,PUNCT
17,NUM
Mukhaloma,V
Muli,DET
,
Omunyali,ADJ
Owa,ADP
Bioosi,DET
,
Wele,NN
wenywe,PRON
Kamaani,NN
kefwe,PRON
ne,CONJ
bunyali,NN
bwewe,PRON
alikho,V
amureera,V
enywe,PRON
mu,ADP
sibala,NN
siili,V
nibio,PRON
bibiakila,V
khwanyoola,V
buiinda,NN
buno,DET
silayi,ADJ
sie,ADP
chisebele,NN
che,ADP
kameechi,NN
Chi,ADJ
Tawe,ADV
.,PUNCT
18,NUM
Mukhoya,V
mukhebulile,V
Wele,NN
chukha,V
mu,ADP
matooma,NN
ne,CONJ
mu,ADP
Bikulu,NN
.,PUNCT
8,NUM
Sili,V
Omunyali,ADJ
Owa,ADP
Bioosi,DET
,
Wele,NN
Wenywe,PRON
.,PUNCT
sibala,NN
sie,ADP
ngaanu,
ne,CONJ
Shayiri,NN
,
Chisabibu,NN
,
Niye,PRON
omuelesianga,V
bunyali,NN
bwe,ADP
khuba,V
Chinduli,NN
,
kamatuunda,NN
Kamakomanga,NN
,
Baiinda,NN
.,PUNCT
Akholanga,V
ario,ADV
sikila,CONJ
aliinda,V
kimiseituni,NN
ne,CONJ
Bubuukhi,NN
.,PUNCT
wele,NN
ofwiile,V
ne,CONJ
akhabechanga,V
omusiku,NN
wewe,PRON
Sinai,NN
namwe,CONJ
Horebu,NN
Wele,NN
Omunyali,ADJ
Tawe,ADV
.,PUNCT
5,NUM
Manya,V
muli,V
Wele,NN
Omunyali,ADJ
Owa,ADP
Bioosi,DET
aakhola,V
kameechi,NN
kaama,V
mu,ADP
Owa,ADP
Bioosi,DET
,
Wele,NN
wenywe,PRON
amuukuuma,V
Lwanda,NN
.,PRON
16,NUM
Aamuelesia,V
enywe,PRON
mana,NN
mu,ADP
Enywe,PRON
nga,CONJ
paapa,NN
owe,ADP
babaana,NN
ne,CONJ
Auu,
-,
sichiimi,NN
Mwalia,V
,
siakhulia,NN
nisio,PRON
bakuu,
kuuma,
babaana,NN
Bewe,PRON
.,PUNCT
“,PUNCT
Nono,CONJ
,
mukhoya,V
ka,
benywe,PRON
baba,V
ne,CONJ
bakhaliakho,V
Tawe,ADV
.,PUNCT
murie,V
kamalaka,NN
ka,ADP
Wele,NN
Omunyali,ADJ
Owa,ADP
Amukholela,V
ario,DET
nio,CONJ
amukhole,V
mweboo,
Bioosi,DET
,
Wele,NN
Wenywe,PRON
.,PUNCT
Loonda,V
Chingi,x
-,PUNCT
mbie,v
lundi,CONJ
amukele,V
nio,DET
ekhumaliilikha,V
la,CONJ
chewe,PRON
mala,CONJ
mu,ADP
murie,V
Niye,PRON
.,PRON
Wele,NN
amukholele,V
Bulayi,ADJ
.,PUNCT
17,NUM
Mukhaloma,V
Muli,DET
,
Omunyali,ADJ
Owa,ADP
Bioosi,DET
,
Wele,NN
wenywe,PRON
Kamaani,NN
kefwe,PRON
ne,CONJ
bunyali,NN
bwewe,PRON
alikho,V
amureera,V
enywe,PRON
mu,ADP
sibala,NN
siili,V
nibio,PRON
bibiakila,V
khwanyoola,V
buiinda,NN
buno,DET
silayi,ADJ
sie,ADP
chisebele,NN
che,ADP
kameechi,NN
Chi,ADJ
Tawe,ADV
.,PUNCT
18,NUM
Mukhoya,V
mukhebulile,V
Wele,NN
chukha,V
mu,ADP
matooma,NN
ne,CONJ
mu,ADP
Bikulu,NN
.,PUNCT
8,NUM
Sili,V
Omunyali,ADJ
Owa,ADP
Bioosi,DET
,
Wele,NN
Wenywe,PRON
.,PUNCT
sibala,NN
sie,ADP
ngaanu,
ne,CONJ
Shayiri,NN
,
Chisabibu,NN
,
Niye,PRON
omuelesianga,V
bunyali,NN
bwe,ADP
khuba,V
Chinduli,NN
,
kamatuunda,NN
Kamakomanga,NN
,
Baiinda,NN
.,PUNCT
Akholanga,V
ario,ADV
sikila,CONJ
aliinda,V
kimiseituni,NN
ne,CONJ
Bubuukhi,NN
.,PUNCT
endakaano,NN
niyo,DET
aakhola,V
ne,CONJ
bakuuka,NN
loba,V
niko,PRON
muliliamo,V
siakhulia,NN
siikhawa,V
benywe,PRON
nga,CONJ
ne,CONJ
kali,
Luno,NN
.,PUNCT
19,NUM
Ne,CONJ
mwaba,V
Kawe,
,
se,PRON
mulitaamba,V
Tawe,ADV
,
chinyaanda,NN
ne,CONJ
mwibilila,V
Wele,NN
Omunyali,ADJ
Owa,ADP
Bioosi,DET
che,ADP
sibala,NN
esio,DET
chili,V
Bichuuma,NN
,
ne,CONJ
Si,
,
Wele,NN
wenywe,PRON
mala,CONJ
mwasaaya,V
bawele,NN
munyala,V
mwayaba,V
koopa,NN
khukhwama,ADP
babaandi,PRON
ne,CONJ
Khubakholela,V
,
ese,PRON
mukaa,
mu,ADP
bikulu,NN
Biasio,
,
10,NUM
Mukhalie,V
mala,CONJ
nia,
enywe,PRON
luno,NN
ndi,PRON
ng'ali,NN
Mukhabune,V
.,PUNCT
kure,
mala,CONJ
musiime,V
Wele,NN
Omunyali,ADJ
Owa,ADP
20,NUM
Mulibuna,V
nga,CONJ
chikholo,NN
nicho,DET
Wele,NN
Bioosi,DET
,
Wele,NN
wenywe,PRON
khulwe,CONJ
Khumuele,V
Omunyali,ADJ
Owa,ADP
Bioosi,DET
alakholanga,V
ne,CONJ
chi,
via,
enywe,PRON
sibala,NN
sie,ADP
Ngakha,
.,PUNCT
buna,
enywe,PRON
ne,CONJ
Muloleleele,V
.,PUNCT
Kaliba,V
kario,DET
mwaba,V
ne,CONJ
mukharia,V
Wele,NN
Omunyali,ADJ
Owa,ADP
Engaani,NN
khuloondekhana,V
Bioosi,DET
,
Wele,NN
wenywe,PRON
Tawe,ADV
.,PUNCT
ne,CONJ
khukhwibilila,V
Wele,NN
Omunyali,ADJ
Owa,ADP
Bioosi,DET
Sileka,NN
sie,ADP
babaandu,NN
barekerefu,NN
ne,CONJ
busa,CONJ
mukhola,V
murio,DET
mwebilila,V
Wele,NN
Omunyali,ADJ
Owa,ADP
“,PUNCT
Isiraeli,NN
Ulila,V
.,PUNCT
Endaalo,NN
yino,DET
Wele,NN
wenywe,PRON
khulwe,CONJ
khulekha,V
mbi,
khwambukha,V
Luluuchi,NN
lwa,ADP
Khuria,V
kamalaka,NN
kewe,PRON
niko,DET
ndikho,V
Yoritani,NN
mala,CONJ
wingisie,V
sibala,NN
sie,ADP
chi,ADP
muelesia,V
enywe,PRON
endaalo,NN
yino,DET
Tawe,ADV
.,PUNCT
kholo,NN
chimboofu,ADJ
lundi,CONJ
che,ADP
kamaani,NN
