WORD	POS
Esau 	NN
asaba	V
Yakobo	NN
ali	ADP
,	PUNC
""""	PUNC
Nosiima 	V
lekha	V
ekhombekho	V
sifuluko	NN
sibesemu	ADJ
sino	DET
enjala	NN
yakhayile	V
lukali	ADV
!	PUNC
""""	PUNC
(	PUNC
Khwako	ADP
bamutiuukha	V
lisina	NN
bali 	ADP
Edomu	NN
)	PUNC
	
Yakobo	NN
amukobosia	V
ali	ADP
,	PUNC
""""	PUNC
Nyoa	V
ungusie	V
kumukabwa	NN
kwe	ADP
bubele	NN
bwowo	ADJ
nio	DET
.	PUNC
""""	PUNC
	
Esau	NN
aloma 	V
ali	ADP
,	PUNC
""""	PUNC
Ese	PRO
ndi	V
siimbi	ADV
khufwa	V
kumukabwa	NN
kwe 	ADP
khuba	V
omubele 	NN
kuli 	V
na	ADP
bukhala	NN
sina	ADP
khwise	PRO
?	PUNC
""""	PUNC
	
Yakobo	NN
amukobosia	V
ali	ADP
,	PUNC
""""	PUNC
njichubile	V
nio	DET
.	PUNC
""""	PUNC
Esau	NN
amwichubila	V
mala	ADP
akusia	V
kumukabwa	NN
kwe	ADP
khuba 	V
omubele	NN
khu	ADP
Yakobo	NN
.	PUNC
	PUNC
Yakobo	NN
amua	V
kumukaati	NN
ne	CONJ
sifuluko	NN
sibesemu	ADJ
alia	V
,	PUNC
mala	ADP
enyokha	V
arekukha	V
.	PUNC
Esau	NN
alekelesia	V
ario	DET
kumukabwa 	NN
kwewe	ADJ
kwe	ADP
khuba	V
omubele	NN
.	PUNC
	
Isaaka 	NN
amenya	V
e	ADP
Kerari	NN
	
Enjala	NN
ekiindi	ADP
yabao	V
mu	ADP
sibala	NN
nga	DET
eyabao	V
mu	ADP
ndaalo	NN
cha 	ADP
Aburahamu	NN
.	PUNC
 Isaaka 	NN
acha	V
e	ADP
Kerari	NN
owa	ADP
Abimeleki	NN
,	PUNC
omwami	NN
owe	ADP
Bafilisiti	NN
.	PUNC
	
Wele	NN
Omunyali	ADJ
Owa 	ADP
Bioosi	NN
amubonekhela	V
mala 	ADP
amuboolela	V
ali	ADP
,	PUNC
""""	PUNC
Okhekha	V
wacha	V
e	ADP
Misiri	NN
tawe	DET
,	PUNC
menya	V
mu	ADP
sibala	NN
nisio	DET
kane	ADP
khuboolele	V
.	PUNC
	
Menya	V
mu	ADP
sibala 	V
sino	DET
,	PUNC
ne	CONJ
ndaba	V
ne	ADP
nawe	PRO
mala	ADP
ndakhubiita	V
chikhabi	NN
.	PUNC
Ndakhuelesia	V
ewe 	PRO
ne	CONJ
lisaaye	NN
liowo	DET
kamaloba	NN
kano	DET
koosi	ADP
.	PUNC
Ndakhola	V
nga	ADP
nechubila	V
Aburahamu	NN
,	PUNC
paapa 	NN
wowo	DET
.	PUNC
	
Ndakucha	V
lisaaye	NN
liowo	DET
libe	V
likali	ADJ
nga	ADP
ching'enieesi	NN
mala	ADP
ndilielesia	V
kamaloba	NN
kano	DET
koosi	ADP
.	PUNC
Ne	CONJ
khubirira	V
mu	ADP
lisaaye 	NN
liowo	DET
bibala	NN
bioosi 	DET
bie	ADP
khubirira	V
sibala	NN
bilibiitwa	V
chikhabi	NN
.	PUNC
	
Ndakhuelesia	V
chikhabi	NN
sikila	CONJ
Aburahamu 	NN
aria	V
kumumilo	NN
kwase	DET
ne	CONJ
kamalaka 	NN
kase	DET
""""	PUNC
Nio	ADP
Isaaka	NN
amenya 	V
e	ADP
Kerari	NN
.	PUNC
	
Nga	ADP
babaandu	NN
be	ADP
abuundu	NN
ao	DET
bamureeba	V
ko	ADP
mukhasi	NN
wewe	DET
,	PUNC
abakobosia 	V
ali	ADP
,	PUNC
""""	PUNC
Yuno	DET
ali	V
omukooko	NN
wase	DET
,	PUNC
""""	PUNC
sikila	CONJ
aria	V
khuloma 	V
,	PUNC
""""	PUNC
Yuno	DET
ali	V
omukhasi	NN
wase	DET
.	PUNC
""""	PUNC
Ebaasia	V
ali	ADP
,	PUNC
""""	PUNC
Babaandu	NN
be	ADP
abuundu	NN
ano	DET
bakhola	V
bario	ADP
banjira	V
sikila	CONJ
Rabeka	NN
,	PUNC
""""	PUNC
Rabeka	NN
aaba	V
omukhasi	NN
owe	ADP
lukoondo	NN
lulayi	ADJ
.	PUNC
	
Nga	ADP
Isaaka	NN
amenya	V
siise	NN
sileeyi	ADJ
,	PUNC
Abimeleki	NN
omwami	NN
owe	ADP
Bafilisiti	NN
alolela	V
mu	ADP
numa	NN
mala 	ADP
abona	V
Isaaka	NN
enyaa	V
ne	CONJ
atiila	V
tiila	V
Rabeka	NN
,	PUNC
omukhasi	NN
wewe	DET
.	PUNC
	
Abimeleki	NN
alaanga	V
Isaaka	NN
mala	ADP
amureeba	V
ali	ADP
,	PUNC
""""	PUNC
Yuno	DET
ali	V
omukhasi 	NN
wowo	DET
,	PUNC
sina	ADP
sikila	ADP
ne	ADP
oloma 	V
oli	ADP
,	PUNC
""""	PUNC
Ali 	V
omukooko	NN
wase	DET
?	PUNC
""""	PUNC
Isaaka	NN
amukobosia	V
ali	ADP
,	PUNC
""""	PUNC
Sikila	ADP
nebaasia	V
ndi	ADP
bakhola	V
bario	DET
banjira	V
.	PUNC
""""	PUNC
	
Abimeleki	NN
amureeba	V
ali	ADP
,	PUNC
""""	PUNC
Sina	ADP
nisio	ADP
okhukholeele	V
sino	DET
?	
Mulala	PUNC
khu	ADP
baandu	NN
base	DET
wakana	ADP
andi	ADP
akonile	V
no	ADP
mukhasi	NN
wowo	DET
,	PUNC
mala 	ADP
andi 	ADP
akhurereere	V
efwe	PRO
kumusaango	NN
,	PUNC
""""	PUNC
	
Nio	ADP
Abimeleki	NN
akaambila	V
babaandu	NN
bewe	DET
boosi 	DET
ne	CONJ
aloma	V
ali	ADP
,	PUNC
""""	PUNC
Omundu	NN
yesiyesi	PRO
otiila	V
khu	ADP
mundu	NN
yuno	DET
namwe	CONJ
khu	ADP
mukhasi	NN
wewe	DET
,	PUNC
aleerwa	V
""""	PUNC
	
Isaaka	NN
amiicha	V
mu	ADP
sibala 	NN
esio	DET
biakhulia	NN
,	PUNC
mala	ADP
kumwiiko	NN
okwo	DET
akesa 	V
khukhwola	ADP
emia 	ADJ
khukhila	DET
nga	ADP
amiicha	V
.	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
amubiita	V
chikhabi	NN
.	PUNC
	
Mala	ADP
Isaaka	NN
aba	V
omuiinda	NN
.	PUNC
Achiililila	ADP
khunyoola	V
kimiaandu 	NN
khukhwola	ADP
nga	ADP
aba	V
omuiinda 	NN
lukali	ADP
.	PUNC
	
Aba 	V
ne	ADP
kiminyele	NN
ne	CONJ
amatuuli 	NN
kamakali	ADJ
,	PUNC
lundi	CONJ
Aba 	V
ne	ADP
banasioobi	NN
bakali	ADJ
,	PUNC
mala	ADP
liakila	DET
Bafilisiti	NN
bamukhendekhela	V
.	PUNC
(	PUNC
Nono	ADP
Bafilisiti	NN
baba	V
bechusie 	V
ne	ADP
liloba	NN
ne	CONJ
khukhwililisia	V
chisebele	NN
choosi	DET
nicho	ADP
bakholi	NN
ba	DET
raraawe	ADJ
Aburahamu	NN
,	PUNC
sikila	ADP
Bafilisiti	NN
baba	V
bachililisia	V
enyuma	DET
we	ADP
lifwa	NN
lia	ADP
Aburahamu	NN
,	PUNC
mala	ADP
achitiuukha	V
kamasina	NN
niko	ADP
yaba	ADP
raraawe 	NN
achitiuukha	V
.	PUNC
	
Bakholi	NN
ba	ADP
Isaaka	NN
bayaba	V
mu	ADP
Litooma	NN
banyoola	V
emoni 	NN
eye	ADP
kameechi	NN
.	PUNC
	
Babaayi 	NN
ba 	ADP
Kerari	NN
balomana	V
ne	CONJ
babaayi	NN
ba	ADP
Isaaka	NN
ne	CONJ
baloma	V
bali	ADP
,	PUNC
""""	PUNC
Kameechi	NN
kano	DET
kali	V
kakeefwe	DET
.	PUNC
""""	PUNC
Nio	ADP
Isaaka	NN
atiuukha	V
esebele	NN
lisina	NN
ali	ADP
,	PUNC
""""	PUNC
Eseki	NN
""""	PUNC
sikila 	ADP
baingana	V
ne	CONJ
naye	PRO
.	PUNC
	
Bayaba	V
esebele	NN
ekiindi	DET
balomana	V
khu	ADP
ng'eneyo	PRO
 yosi	DET
.	PUNC
Mala 	ADP
akitiuukha	V
lisina	NN
ali	ADP
,	PUNC
""""	PUNC
Sitina	NN
""""	PUNC
.	PUNC
	
Arura 	V
abwenao	DET
mala	ADP
