WORD	POS
232	NUM
KHUBALA	V
35-36 	NUM
und 	X
SITABU 	NN
SIA 	PREP
MUSA	NN
SIA 	PREP
KHARAANO	ADJ
SILAANGWA	V
LIKHEBULILA	NN
LIE	PREP
KAMALAKA	NN
SIBALA	NN
NISIO	PROUN
MUMENYILEMO 	V
TAWE	ADV
,	PUNCT
Sikila       	CONJ
Kano	PRON
niko	DET
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
Ese	PRON
,	PUNT
Wele                	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
menyile	V
alaka	V
khu	ADP
bakooko	NN
ba	ADP
Selofehadi	NN
Lekha	V
akari	NN
we	ADP
babaandu	NN
ba	ADP
Isiraeli	NN
.	PUNCT
""""	PUNCT
bateekhe     	V
khu	ADP
niye	PRON
benya	V
.	PUNT
Ne	ADP
kakhali	
babeywe	
munju	NN
eye	ADP
kholo	NN
eya	ADP
paapa	NN
Kumukabwa	NN
kwe	ADP
bakhasi	NN
wabwe	DET
.	PUNT
7	NUM
Kumukabwa	NN
kwe	ADP
Baisiraeli	NN
se	ADP
baali	NN
mu	ADP
chinju	NN
kucha                  	NN
khurura	V
khu	ADP
kholo	NN
ndala	ADJ
kuche	V
Babemeelesi	NN
be	ADP
luuya	NN
lwa	ADP
Kilea	NN
khu	ADP
kiindi	PRON
tawe	ADV
.	PUNCT
Buli	DET
mulala	PRON
khu	ADP
Baisi	
ti         	
,	PUNCT
bacha	V
khu	ADP
Musa	NN
ne	ADP
khu	ADP
raeli	NN
acha	V
khurama	V
mu	ADP
mukabwa	NN
kwe	ADP
bemeelesi	NN
be	ADP
chinju	NN
cha	ADP
Isiraeli	NN
.	PUNCT
(	PUNCT
Kilea	NN
kholo	NN
eye	ADP
bakuukawe	NN
.	PUNCT
Ne	ADP
buli	DET
mukoo	
ti	
aba	ADP
okhwa	NN
Makiri	NN
omwichukhulu	NN
ko	
owila	V
khu	ADP
mukabwa	NN
mu	ADP
kholo	NN
yosi	DET
owa	ADP
Manase	NN
lundi	CONJ
sisoni	NN
sia	ADP
Yosefu	NN
.	PUNCT
)	PUNCT
yosi	DET
eye	ADP
Baisiraeli	NN
akhoya 	V
abeela 	V
khu 	ADP
2	NUM
Baloma 	V
Bali	DET
,	PUNCT
""""	PUNCT
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi	DET
museecha 	NN
owe 	ADP
kholo 	NN
ng'eneyo	PRON
. 	PUNCT
Mu 	ADP
ngila 	NN
si 	ADP
akhulaka 	V
ewe 	PRON
khukaba 	V
babaandu 	NN
yino 	PRON
buli 	DET
muisiraeli 	NN
acha 	V
khwila 	V
khu 	ADP
Baisiraeli 	NN
kamaloba 	NN
khulwe 	CONJ
khukhu	ADV
mukabwa 	NN
kwe 	ADP
bakuuka 	NN
bewe	PRON
. 	PUNCT
'	PUNCT
Khwako 	
pa 	
chikura	NN
. 	PUNCT
Lundi 	ADV
akhulaka 	V
khuana 	V
kimiaandu 	NN
se 	ADP
kicha 	V
khwama 	V
mu 	ADP
kholo 	NN
kimiaandu 	NN
kia 	ADP
wandaayefwe 	NN
Selofehadi 	NN
ekiindi 	DET
kiche 	V
mu 	ADP
kholo 	NN
ekiindi 	DET
tawe	ADV
. 	PUNCT
khu 	ADP
bakooko 	NN
bewe	DET
. 	PUNCT
'	PUNCT
Ne 	ADP
kakhali 	CONJ
baaba 	PRON
Buli 	DET
kholo 	NN
echa 	V
khurama 	V
ne 	ADP
kumuka 	NN
ne 	ADP
bacha 	V
khu 	ADP
baseecha 	NN
be 	ADP
ekholo 	NN
ekii- 	
bwa 	
kwayo	DET
.	PUNCT
' 	PUNCT
ndi 	CONJ
eya 	ADP
Isiraeli	NN
, 	PUNCT
kumukabwa 	NN
kwabwe 	PRON
1	NUM
Bakooko 	NN
ba 	ADP
Selofehadi 	NN
bakhola 	V
nga 	CONJ
aba 	ADP
kucha 	V
khuba 	V
kwe 	PRON
ekholo 	NN
eyo	ADP
. 	PUNCT
Nio 	DET
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
ne 	ADP
alaka 	V
kimiaandu 	NN
kiefwe 	PRON
kicha 	V
khubukulwa 	V
Musa	NN
. 	PUNCT
11	NUM
Mahila	NN
, 	PUNCT
Tirisa	NN
, 	PUNCT
ne 	ADP
Hokila	NN
, 	PUNCT
Milika 	NN
khukhwama 	ADP
mwifwe	PRON
. 	
Ne 	CONJ
siise 	NN
sia 	ADP
nai- 	
ne 	CONJ
Noa	NN
, 	PUNCT
bakooko 	NN
ba 	ADP
Selofehadi 	NN
babee 	V
kara 	
eye 	ADP
likhebusia 	NN
eye 	ADP
Baisiraeli 	NN
ne 	ADP
la 	
khu 	ADP
basoleeli 	NN
ba 	ADP
baada 	
sianang'ina 	NN
sioola 	NN
kumukabwa 	NN
kwabwe 	PRON
kulitasikha 	V
babwe	PRON
. 	PUNCT
12	
Babeela 	V
khu 	ADP
lisaaye 	NN
lie 	ADP
kholo 	NN
khu 	ADP
mukabwa 	NN
kwe 	PRON
kholo 	NN
niyo 	ADP
balimo	ADP
. 	PUNCT
eya 	ADP
Manase 	NN
okhwa 	ADP
Yosefu	NN
.	PUNCT
Nio 	ADP
kumu 	
Nio 	ADP
kumukabwa 	NN
kwabwe 	PRON
kulibukulibwa 	V
kabwa 	V
kwabwe 	PRON
kwarama 	V
mu 	ADP
kholo 	NN
eya 	ADP
khukhwama 	ADP
mumukabwa 	NN
kwe 	ADP
kholo 	NN
