word	pos
libuusiana	nn
khusaaya	v
Wele	nn
Omunyali	adj
Owa	con
12	num
""""	punct
Ba	conj
nende	conj
abuundu	nn
enje	v
we	conj
Bioosi	adp
Tawe	adp
.	punct
kambi	nn
niio	conj
babaandu	nn
banyala	adj
bacha	v
2“	punct
Mbao	adp
omundu	nn
oweyasiimba	v
namwe	conj
Khukhwiyeeta	v
.	punct
13	num
Suta	v
lusaala	nn
ne	conj
bulwaa	nn
owe	conj
lisaaye	nn
liewe	pron
okhengile	v
mu	conj
Libuusia	nn
-	punct
ni	adp
Bwowo	pron
.	punct
Ne	conj
wenya	v
khukhwiyeeta	v
na	conj
lie	conj
babaandu	nn
ba	con
Wele	nn
Omunyali	adj
Owa	conj
onyala	v
wayaba	v
liloo	nn
wachaamo	v
mala	conj
Bioosi	adp
Tawe	adp
.	punct
omalile	v
Welilisia	v
.	punct
14	num
Ekambi	nn
yenywe	pron
3	num
“	punct
Mbao	adp
Omuamoni	nn
namwe	conj
Omumoabu	nn
,	punct
ekhoya	v
ebe	v
Endakatifu	adj
.	punct
Wele	nn
Omunyali	adj
namwe	conj
yesi	pron
yesi	pron
khu	adp
be	conj
lisaaye	nn
Liabwe	pron
,	punct
owa	conj
Bioosi	adp
,	punct
Wele	nn
wenywe	pron
akeendangamo	v
akhaba	v
mu	adp
selukho	nn
eye	conj
khumi	num
-	punct
khumuonia	v
enywe	pron
ne	conj
khukhwira	v
basiku	nn
mu	adp
libuusiana	nn
lie	conj
babaandu	nn
ba	conj
Wele	nn
Benywe	pron
.	punct
Khola	v
murio	det
nio	conj
Wele	nn
Omunyali	adj
Owa	conj
Bioosi	adv
Tawe	adp
.	punct
4	num
Kali	v
kario	det
Owa	conj
Bioosi	adv
akhabona	v
sisiindu	nn
siosi	adv
siosi	adv
sikila	conj
nibo	pron
bamwimana	adp
enywe	pron
biakhulia	nn
sinyaalu	adj
sinyala	pron
siakila	v
Wele	nn
Omunyali	adj
ne	conj
kameechi	nn
nga	conj
ne	conj
mwaba	v
khu	adp
Lukee	nn
-	punct
Owa	conj
Bioosi	adv
amufutarira	v
Tawe	adv
.	punct
ndo	
ne	conj
mwama	v
e	adp
Misiri	nn
.	punct
Lundi	conj
baruunga	v
EDICO	x
Balamu	adj
okhwa	pron
Beori	nn
khukhwama	adp
mu	adp
Kamalaka	nn
lukoba	nn
lwa	conj
Petiori	nn
mu	adp
Mesopotamia	nn
khu	adp
15	num
""""	punct
Nasioobi	nn
aaba	v
ne	conj
elukha	v
khu	adp
mulaama	v
Enywe	pron
.	punct
5	num
Kakhaba	conj
kario	det
Wele	nn
khwama	adp
wo	conj
mukhulu	adj
wewe	pron
mala	conj
eeche	v
Omunyali	adj
Owa	conj
Bioosi	adv
,	punct
Wele	nn
wenywe	pron
se	adv
khwiwe	pron
omuyeete	v
okhamukobosiayo	v
aarekeeresia	v
ka	conj
Balamu	nn
Tawe	adv
,	punct
ne	conj
Kakhalitawe	adv
.	punct
16	num
Anyala	v
aamenya	v
mu	adp
lukoba	nn
lwosi	adv
aakaluukhasia	v
silaamo	nn
siaaba	conj
Chikhabi	nn
,	punct
lwosi	adv
khu	adp
ngoba	v
Chenywe	pron
,	punct
nilwo	pron
omwe	conj
sikila	conj
aamusiima	v
Enywe	pron
.	punct
6	num
Mukhaenja	v
ne	conj
arobore	v
mukhaba	adp
bakhalafu	adj
khu	adp
niye	pron
khuuba	v
ne	conj
kumuleembe	nn
ne	conj
chikholo	nn
Tawe	adv
.	punct
chino	det
namwe	conj
mubenyele	v
buiinda	nn
mu	adp
17	num
“	punct
Akhabao	v
omundu	nn
yesi	pron
yesi	pron
munju	nn
bulamu	nn
bwenywe	pron
bwoosi	adv
Tawe	adv
.	punct
Wele	nn
Omunyali	adj
Owa	conj
Bioosi	adv
owe	conj
sii	conj
7	num
“	punct
Mukhabiila	v
Baedomu	nn
Tawe	adv
,	punct
bali	conj
khasi	adj
namwe	conj
owe	conj
siseecha	nn
okhola	v
balebe	nn
Benywe	pron
.	punct
Lundi	conj
mukhabiila	v
Bami	nn
bulaaya	nn
Tawe	adv
.	punct
18	num
Mukhayila	v
(	punct
chirupia	nn
siri	nn
Tawe	adv
,	punct
sikila	conj
mwaba	v
baakwa	v
mu	adp
chinyoolekhe	v
khukhwama	adp
mu	adp
bueeyi	nn
sibala	nn
Siabwe	pron
.	punct
8	num
Khukhwamila	adp
khu	adp
Selu	nn
-	punct
namwe	conj
che	conj
chingila	nn
chimayaanu	adj
munju	nn
kho	adp
eya	conj
khataru	num
khuchiililila	v
be	v
lisaaye	nn
ya	conj
Wele	nn
Omunyali	adj
Owa	conj
Bioosi	adv
Tawe	adv
.	punct
Wele	nn
lie	conj
Baedomu	nn
ne	conj
Bamisiri	nn
banyala	v
Bengi	adv
-	punct
Omunyali	adj
Owa	conj
Bioosi	adv
abiila	v
bikholwa	nn
mu	adp
libuusiana	nn
lie	conj
babaandu	nn
ba	conj
Wele	nn
bioombi	adv
Ebio	det
.	punct
Omunyali	adj
Owa	conj
