WORD	SPEEECH TAG
KUMUKANDA	NN
KUKUPANILA	V
NGALI	NN
CHE	ADP
BAKHOLI	NN
MU	ADP
SEREKALI	NN
YE	ADP
EKAUNTI	NN
YA	ADP
TRANZOIA	NN
NONO	DET
KWENYA	V
KUMUKANDA	NN
KUNYIKHINYA	V
KIMILIMO	NN
MUKAUNTI	NN
EYO	DET
KUNYIKHINYE	V
KIMILIMO	NN
BABANDU	NN
600	ADJ
BAKHOLANGA	V
KIMILIMO	NN
NGALI	NN
KIBARUA	ADJ
NAMWE	CONJ
KHUKONTRASI	ADJ
KHUNISIO	ADP
KUBOLA	V
KULI	ADP
BAKHOLI	NN
ABO	DET
BENYEKHA	V
BANYIKHINYWE	V
KIMILIMO	NN
KHUBISE	ADV
BIA	ADP
MINDALI	ADV
NEKHUBELA	CONJ
BAKHALABANILE	V
SEREKALI	NN
EYO	DET
KHUMIKO	NN
KIMIKALI	ADV
.	PUNCT
WENDEBE	NN
WE	ADP
KUMUKANDA	NN
OKWO	DET
SAMUEL	NN
KIBOI	NN
ABOLA	V
ALI	ADP
BAKHOLI	NN
ABO	DET
BALABIRIRANGA	V
MWIMENYA	NN
LIANDALAFU	ADJ
ENYUMA	CONJ
WA	ADP
SEREKALI	NN
YE	ADP
EKAUNTI	NN
KHULEKHA	V
KHUBANYIKHINYA	V
KIMILIO	NN
EYI	CONJ
NALANGILILAKHO	V
KUMUKANDA	NN
KUNYIKHINYA	V
BABANDU	NN
KIMILIMO	NN
OKWO	DET
KHUKOBOSIA	V
LUKUKULO	NN
LWABWE	DET
.	PUNCT
KIBOI	NN
LUNDI	CONJ
AMAKHWIKICHA	V
SEREKALI	NN
YE	ADP
EKAUNTI	NN
YA	ADP
TRANZOIA	NN
KHUNISIO	ADP
ABOLA	V
ALI	ADP
YAKHILILWE	V
KHURUNGA	V
BABANDU	NN
BAULUKHA	ADJ
KHUMILIMO	NN
KHUKHWAMANANA	ADP
NEKHUBELA	CONJ
KAMASE	NN
KABWE	DET
LUKALI	ADJ
ABO	ADP
BABACHUMANGA	V
YABA	V
EKANSO	NN
YE	ADP
EKAUNTI	NN
YA	ADP
TRANZOIA	NN
ALALA	ADJ
NEKHUBELA	CONJ
CHIKANSO	NN
CHE	ADP
BIRIMBA	NN
.	PUNCT
KIBOI	NN
NONO	ADP
ALIKHAREBA	V
OMURUKI	NN
WENDEBE	ADJ
SIBALA	NN
UHURU	NN
KENYATTA	NN
KHUKHALABANILAKHO	V
ELIO	DET
BISENIBIO	ADP
ACHA	V
KHUKENDELELA	V
EKAUNTI	NN
EYO	DET
MUNDALO	NN
NGEKHE	ADJ
CHICHICHA	ADP
.	PUNCT
