WORD 	POS
LOLA	V
NEMILE	V
ASEBELE	NN
,	PUNCT
NE	CONJ
OMUKHANA	NN
OLARURA	V
ECHE	V
KHUTAA	V
KAMEECHI	NN
NDAMUSABA	V
AMBEEKHO	V
KAMEECHI	NN
KE	ADP
KHUNYWA	V
.	PUNCT
NE	DET
OLAMBA	V
LUNDI	CONJ
 ANYWESIE	V
CHINGAMIA 	NN
CHASE	PRON
CHOOSI	ADV
LEKHA	V
ABE	V
OMUKHASI	NN
NIYE	PRON
WELE 	NN
OMUNYALI	ADJ
OWA	CONJ
BIOOSI	ADJ
AROBOREERE	V
OMWANA	NN
OWO	CONJ
MWAMI	NN
WASE	PRON
.	PUNCT
	
NE	CONJ
KHAMALA 	V
LISABA	NN
LIASE	PRON
MU	ADP
MOYO	NN
TAWE	ADJ
,	PUNCT
REBEKA	NN
ECHA	V
NE	CONJ
ESOONGO	NN
YEWE	PRON
KHU	ADP
MABEKA	NN
,	PUNCT
MALA	DET
EKHA	V
MU	PRON
SEBELE	NN
ATAA	V
KAMECHI	NN
.	PUNCT
NAMUSABA	V
NDI	DET
,	PUNCT
NOSIMA 	
MBEEKHO	V
KAAMECHI	NN
NYWE	V
ARUURA	V
ESOONGO	NN
KHANGU	ADJ
KHUKHWAMA	ADV
KHWIBEKA	NN
MALA	CONJ
ALOMA	V
ALI	V
KHONYWE	V
,	PUNCT
MALA	CONJ
NASE	PRON
NDANYWEESIA	V
AAKHABA	ADV
NE	CONJ
CHINGAMIA	NN
CHOWO	PRON
CHOOSI	ADV
.	PUNCT
NIO	ADV
ESE	PRON
NANYWA	V
MALA	CONJ
AANYWEESIA	V
NE	CONJ
CHINGAMIA	NN
CHOOSI	ADV
.	PUNCT
NYO	
NAMUREEBA	V
NDI	DET
,	PUNCT
EWE	PRON
UMUKHAANA	NN
OWA	PRON
NAANU	PRON
?	PUNCT
ALOMA	V
ALI	CONJ
,	PUNCT
ESE	PRON
OMUKHAANA	NN
OWA	PRON
BETUELI	NN
,	PUNCT
OMWANA	NN
WA	ADP
OWA	PRON
MILKA	NN
NE	CONJ
NAORI	NN
NIO	ADV
NAMURA	NN
EMBETE	NN
KHU	PRON
LIOOLU	NN
NE	CONJ
CHIPANGIILI	NN
KHU	ADP
MAKHONO	NN
KEWE	PRON
.	PUNCT
MALA	ADV
NASIKAMA	V
ASI	ADJ
,	PUNCT
NASAAYE	NN
 WELE	NN
OMUNYALI	
WA	ADP
BIOOSI	ADV
.	PUNCT
NAFUMIA 	V
WELE	NN
OMUNYALI	ADV
OWA	ADP
BIOOSI	ADV
OWOMWAMI	NN
WASE	PRON
ABURAHAMU	NN
,	PUNCT
UNDANGIRIRE 	V
MBUKULE	V
OMUKHANA	NN
OWE	PRON
BALEBE	NN
BO	ADP
OMWAMI	NN
WASE	PRON
BUBWEIKINWA	NN
NE	CONJ
BUNGALI	ADJ
,	PUNCT
MUMBOOLELE'	V
NE	CONJ
KAKHALI	CONJ
KARIO	ADJ
OOLELE	V
,	PUNCT
NIO	ADJ
MANYE	NN
NILIO	PRON
NYALA	V
NAKHOLA	V
.	PUNCT
