 WORD	POS
lilaka 	NN
liowo	PRON
.	PUNCT
 Se	ADV
 nabeele 	V
omureengu	NN
 namwe	CONJ
 ndaalo	NN
 niyo	PRON
 mwambukhilakho	V
 lulu	CONJ
 se	ADV
 nebiliile	V
 liosi	ADV
 liosi	ADV
 khu	ADP
 malaka 	NN
kowo	PRON
 ka 	CONJ
chi	CONJ
 lwa	CONJ
 Yoritani	NN
 Mala	CONJ
 mwingile 	V
mu	ADP
 silala 	NUM
khwikhumi	NUM
 tawe	ADV
.	PUNCT
  Se	CONJ
 Naliile	V
 Silala	NUM
 Sibala	NN
 Nisio	PRON
 Wele 	NN
Omunyali	ADJ
 Owa 	CONJ
Bioosi	ADV
,	CONJ
 khwikhumi 	NUM
ne	CONJ
 ndi	ADP
 mu	ADP
 masika	NN
 namwe	CONJ
 nga	CONJ
 Wele 	NN
Wenywe	PRON
 alikho 	V
amuelesia 	v
 enywe	PRON
,	PUNCT
 Nabeele	V
 Omunyaalu	ADJ
 Tawe	ADV
.	PUNCT
 Se	ADV
 Naanile	V
 Silala	NUM
 Mularaao	NN
 Kamabaale	NN
 Kamabalaayi	ADJ
 Mala	CONJ
 Khwikhumi	NUM
 Nga	CONJ
 Esaka	NN
 Khulwo	CONJ
 Omufu	NN
 Tawe	ADV
.	PUNCT
 Mukaakhe	V
 Luloongo	NN
.	PUNCT
 Mukhaandikekho	V
 Nariire	V
lilaka 	NN
  liowo	PRON
,	PUNCT
 Wele	NN
 Omunyali	ADJ
 Owa	ADP
 Kamalaka	NN
 Kano	DET
 Koosi	ADV
.	PUNCT
 Wele	NN
 Omunyali	ADJ
 Bioosi	ADV
, 	PUNCT
Wele 	NN
Wase	PRON
, 	PUNCT
Mala	CONJ
 Nakhola	V
 Khuloo	CONJ
-	PUNCT
 Owa 	ADP
Bioosi	ADV
,	PUNCT
 Wele	NN
 We	ADP
 Bakuuka	NN
 Benywe	PRON
 Ndekhana	V
 Nende	CONJ
 Koosi	ADV
 Niko	PRON
 Ewe	PRON
 Wandaka	V
 Alikho	V
 Amuelesia	V
 Enywe	PRON
 Sibala	NN
 Nisio	PRON
 Khukhola	V
.	PUNCT
  Ne	CONJ
 Oli	V
 Abuundu	NN
