WORD	POS
KUMUKANDA	NN
KUKUPANILA	V
NGALI	NN
CHE	ADP
BAKHOLI	NN
MUSEREKALI	NN
YE	ADP
EKAUNTI	NN
YA	ADP
TRANS-NZOIA	NN
NONO	ADV
KWENYA	V
KUNYIKHINYA	V
BABANDU	NN
KIMILIMO	NN
MUKAUNTI	NN
EYO	DET
KUNYIKHINYE	V
600	NUM
BAKHOLANGA	V
NGA	ADV
BIBARUA	NN
NAMWE	CONJ
KHUKONTASI	NN
KHUNISIO	
KUBOLA	V
KULI	DET
ABO	PRON
BENYEKHA	ADJ
BANYIKHINYWE	V
KHUBISE	V
BIA	ADP
MINDALI	NN
NEKHUBELA	CONJ
BAKHALABANILE	V
SEREKALI	NN
EYO	PRON
KHUMIKO	NN
KIMIKALI	ADJ
WENDEBE	NN
WE	ADP
OKWO	DET
SAMUEL	NN
KIBOI	NN
ABOLA	V
ALI	DET
BAKHOLI	NN
ABO	PRON
BALABIRIRANGA	V
MWIMENYA	NN
LIANDALAFU	NN
ENYUMA	ADP
WA	ADP
SEREKALI	NN
YE	ADP
EKAUNTI	NN
KHULEKHA	V
KHUBANYIKHINYA	V
EYI	DET
NALANGILILAKHO	V
BABANDU	NN
OKWO	DET
KHUKOBOSIA	V
LUKUKULO	NN
LWABWE	PRON
LUNDI	ADV
AMAKHWIKICHA	V
YA	ADV
KHUNISIO	
ABOLA	V
ALI	DET
YAKHILILWE	V
KHURUNGA	V
BAULUKHA	V
KHUMILIMO	NN
KHUKHWAMANANA	ADJ
NE	CONJ
KAMASE	NN
KABWE	PRON
LUKALI	ADJ
ABO	PRON
BABACHUMANGA	NN
YABA	V
EKANSO	NN
ALALA	ADV
NE	CONJ
CHIKANSO	NN
CHE	ADP
BIRIMBA	NN
ALIKHAREBA	V
OMURUKI	NN
SIBALA	NN
UHURU	NN
KENYATTA	NN
KHUKHALABANILAKHO	V
ELIO	DET
BISE	NN
NIBIO	DET
ACHA	V
KHUKENDELELA	V
MUNDALO	NN
NGEKHE	ADJ
CHICHICHA	V
